person,personLabel,birthDate,birthYear,deathDate,deathYear,citizenshipLabel
http://www.wikidata.org/entity/Q557,Patti Smith,1946-12-30T00:00:00Z,1946,,,United States
http://www.wikidata.org/entity/Q4715,Moncef Marzouki,1945-07-07T00:00:00Z,1945,,,Tunisia
http://www.wikidata.org/entity/Q4715,Moncef Marzouki,1945-07-07T00:00:00Z,1945,,,French protectorate of Tunisia
http://www.wikidata.org/entity/Q9049,Noam Chomsky,1928-12-07T00:00:00Z,1928,,,United States
http://www.wikidata.org/entity/Q18947,Laurie Holden,1969-12-17T00:00:00Z,1969,,,Canada
http://www.wikidata.org/entity/Q18947,Laurie Holden,1969-12-17T00:00:00Z,1969,,,United States
http://www.wikidata.org/entity/Q27077,Li Heping,1970-10-26T00:00:00Z,1970,,,People's Republic of China
http://www.wikidata.org/entity/Q32732,Malala Yousafzai,1997-07-12T00:00:00Z,1997,,,Pakistan
http://www.wikidata.org/entity/Q36740,Aung San Suu Kyi,1945-06-19T00:00:00Z,1945,,,Myanmar
http://www.wikidata.org/entity/Q48410,Richard Gere,1949-08-31T00:00:00Z,1949,,,United States
http://www.wikidata.org/entity/Q55994,Mike Farrell,1939-02-06T00:00:00Z,1939,,,United States
http://www.wikidata.org/entity/Q62173,Sabine Leutheusser-Schnarrenberger,1951-07-26T00:00:00Z,1951,,,Germany
http://www.wikidata.org/entity/Q64075,Shin Dong-hyuk,1982-11-19T00:00:00Z,1982,,,North Korea
http://www.wikidata.org/entity/Q64075,Shin Dong-hyuk,1982-11-19T00:00:00Z,1982,,,South Korea
http://www.wikidata.org/entity/Q74348,Hubertus Knabe,1959-07-19T00:00:00Z,1959,,,Germany
http://www.wikidata.org/entity/Q80168,Hilal Mammadov,1959-08-28T00:00:00Z,1959,,,Azerbaijan
http://www.wikidata.org/entity/Q80168,Hilal Mammadov,1959-08-28T00:00:00Z,1959,,,Soviet Union
http://www.wikidata.org/entity/Q82398,Haitham al-Maleh,1931-08-15T00:00:00Z,1931,,,Syria
http://www.wikidata.org/entity/Q83740,Steve Biddulph,1953-08-15T00:00:00Z,1953,,,United Kingdom
http://www.wikidata.org/entity/Q83740,Steve Biddulph,1953-08-15T00:00:00Z,1953,,,Australia
http://www.wikidata.org/entity/Q84917,Christian Michelides,1957-07-19T00:00:00Z,1957,,,Austria
http://www.wikidata.org/entity/Q88220,Terezija Stoisits,1958-11-14T00:00:00Z,1958,,,Austria
http://www.wikidata.org/entity/Q98403,Siegfried Reiprich,1955-02-15T00:00:00Z,1955,,,Germany
http://www.wikidata.org/entity/Q98403,Siegfried Reiprich,1955-02-15T00:00:00Z,1955,,,German Democratic Republic
http://www.wikidata.org/entity/Q102870,Harriet Tubman,1822-03-06T00:00:00Z,1822,,,United States
http://www.wikidata.org/entity/Q104622,Tawakkol Karman,1979-02-07T00:00:00Z,1979,,,Yemen
http://www.wikidata.org/entity/Q113781,Mina Ahadi,1956-01-01T00:00:00Z,1956,,,Austria
http://www.wikidata.org/entity/Q113781,Mina Ahadi,1956-01-01T00:00:00Z,1956,,,Iran
http://www.wikidata.org/entity/Q118263,Ales Bialiatski,1962-09-25T00:00:00Z,1962,,,Belarus
http://www.wikidata.org/entity/Q118263,Ales Bialiatski,1962-09-25T00:00:00Z,1962,,,Soviet Union
