instanceLabel,item,itemLabel,entity_id,related_works_count
human,http://www.wikidata.org/entity/Q18639495,Samuel Bierfield,Q18639495,0
human,http://www.wikidata.org/entity/Q705176,"John, Count of Angoulême",Q705176,0
human,http://www.wikidata.org/entity/Q207416,Bartolomé de Las Casas,Q207416,20
human,http://www.wikidata.org/entity/Q154959,Hugo Grotius,Q154959,10
human,http://www.wikidata.org/entity/Q37621,Thomas Hobbes,Q37621,15
human,http://www.wikidata.org/entity/Q9353,John Locke,Q9353,18
human,http://www.wikidata.org/entity/Q6253543,John Punch,Q6253543,0
human,http://www.wikidata.org/entity/Q349497,Benjamin Lay,Q349497,1
human,http://www.wikidata.org/entity/Q3471224,"Samuel Sandys, 1st Baron Sandys",Q3471224,0
human,http://www.wikidata.org/entity/Q6527,Jean-Jacques Rousseau,Q6527,85
human,http://www.wikidata.org/entity/Q572877,Anthony Benezet,Q572877,4
human,http://www.wikidata.org/entity/Q14324051,Anna Margareta Salmelin,Q14324051,0
human,http://www.wikidata.org/entity/Q7176335,Peter Peckard,Q7176335,0
human,http://www.wikidata.org/entity/Q532329,George Mason,Q532329,0
human,http://www.wikidata.org/entity/Q319331,Josiah Wedgwood,Q319331,10
human,http://www.wikidata.org/entity/Q315537,William Cowper,Q315537,63
human,http://www.wikidata.org/entity/Q42654600,Fenda Lawrence,Q42654600,0
human,http://www.wikidata.org/entity/Q11812,Thomas Jefferson,Q11812,35
human,http://www.wikidata.org/entity/Q11813,James Madison,Q11813,33
human,http://www.wikidata.org/entity/Q5538872,George Edward Doney,Q5538872,0
human,http://www.wikidata.org/entity/Q207672,William Wilberforce,Q207672,5
human,http://www.wikidata.org/entity/Q19059591,James Drummond MacGregor,Q19059591,0
human,http://www.wikidata.org/entity/Q2032151,Thomas Clarkson,Q2032151,6
human,http://www.wikidata.org/entity/Q22341556,Hetty Reckless,Q22341556,0
human,http://www.wikidata.org/entity/Q16739929,Hans Jonatan,Q16739929,0
human,http://www.wikidata.org/entity/Q52295193,Thomas Sturge,Q52295193,0
human,http://www.wikidata.org/entity/Q23758930,Catharine R. Williams,Q23758930,0
human,http://www.wikidata.org/entity/Q4796627,Arsénio Pompílio Pompeu de Carpo,Q4796627,0
human,http://www.wikidata.org/entity/Q7792020,Thomas M'Clintock,Q7792020,0
human,http://www.wikidata.org/entity/Q1353767,Thaddeus Stevens,Q1353767,1
human,http://www.wikidata.org/entity/Q59343154,Thomas F. Mulledy,Q59343154,0
human,http://www.wikidata.org/entity/Q7159479,Pedro Blanco,Q7159479,0
human,http://www.wikidata.org/entity/Q6686880,Louis Celeste Lecesne,Q6686880,0
human,http://www.wikidata.org/entity/Q16065702,Sheldon Peck,Q16065702,8
human,http://www.wikidata.org/entity/Q61040403,William McSherry,Q61040403,0
human,http://www.wikidata.org/entity/Q189366,John Brown,Q189366,1
human,http://www.wikidata.org/entity/Q22018959,Mary Meachum,Q22018959,0
human,http://www.wikidata.org/entity/Q7609375,Stephen H. Gloucester,Q7609375,0
human,http://www.wikidata.org/entity/Q50020,John Stuart Mill,Q50020,38
human,http://www.wikidata.org/entity/Q6537184,Lewis Woodson,Q6537184,0
human,http://www.wikidata.org/entity/Q7422565,Sarah Mapps Douglass,Q7422565,1
human,http://www.wikidata.org/entity/Q11722350,Susan Paul,Q11722350,0
human,http://www.wikidata.org/entity/Q61314662,Amy Matilda Cassey,Q61314662,0
human,http://www.wikidata.org/entity/Q19894285,Harriet Forten Purvis,Q19894285,0
human,http://www.wikidata.org/entity/Q4767364,Anna Murray-Douglass,Q4767364,0
human,http://www.wikidata.org/entity/Q35131021,Joshua Bowen Smith,Q35131021,0
human,http://www.wikidata.org/entity/Q6139252,James McCune Smith,Q6139252,0
human,http://www.wikidata.org/entity/Q6536421,Lewis Charlton,Q6536421,0
human,http://www.wikidata.org/entity/Q465335,Elizabeth Cady Stanton,Q465335,3
human,http://www.wikidata.org/entity/Q1230434,Thaddeus Hyatt,Q1230434,1
human,http://www.wikidata.org/entity/Q26243162,Robert James Harlan,Q26243162,1
human,http://www.wikidata.org/entity/Q5078949,Charles Henry Langston,Q5078949,0
human,http://www.wikidata.org/entity/Q9061,Karl Marx,Q9061,227
human,http://www.wikidata.org/entity/Q215562,Frederick Douglass,Q215562,22
human,http://www.wikidata.org/entity/Q452281,Lucy Stone,Q452281,0
human,http://www.wikidata.org/entity/Q17985825,Turner W. Bell,Q17985825,0
human,http://www.wikidata.org/entity/Q192245,Susan B. Anthony,Q192245,1
human,http://www.wikidata.org/entity/Q41451039,John J. Smith,Q41451039,0
human,http://www.wikidata.org/entity/Q64685622,Mabel Sharman Crawford,Q64685622,1
human,http://www.wikidata.org/entity/Q8016572,William Parker,Q8016572,0
human,http://www.wikidata.org/entity/Q23758931,J. Rufus Bratton,Q23758931,0
human,http://www.wikidata.org/entity/Q720220,Román Baldorioty de Castro,Q720220,0
human,http://www.wikidata.org/entity/Q18526333,Agnes Pochin,Q18526333,0
human,http://www.wikidata.org/entity/Q19407756,William M. Mitchell,Q19407756,1
human,http://www.wikidata.org/entity/Q16031405,Mary Stafford Anthony,Q16031405,0
human,http://www.wikidata.org/entity/Q20710824,William Troy,Q20710824,0
human,http://www.wikidata.org/entity/Q12091,Henry Dunant,Q12091,4
human,http://www.wikidata.org/entity/Q2418031,Mary Edwards Walker,Q2418031,0
human,http://www.wikidata.org/entity/Q6537048,Lewis Sheridan Leary,Q6537048,0
human,http://www.wikidata.org/entity/Q18086799,Henry Richard Fox Bourne,Q18086799,0
human,http://www.wikidata.org/entity/Q1654098,Ludovic Trarieux,Q1654098,0
human,http://www.wikidata.org/entity/Q21665058,James Milton Turner,Q21665058,0
human,http://www.wikidata.org/entity/Q27576465,Charlotte Bolles Anthony,Q27576465,0
human,http://www.wikidata.org/entity/Q58815494,Berry Washington,Q58815494,0
human,http://www.wikidata.org/entity/Q18889879,Théodore de Korwin Szymanowski,Q18889879,0
human,http://www.wikidata.org/entity/Q63040053,Redoshi,Q63040053,0
human,http://www.wikidata.org/entity/Q7405218,Sally Maria Diggs,Q7405218,0
human,http://www.wikidata.org/entity/Q211519,Emmeline Pankhurst,Q211519,7
human,http://www.wikidata.org/entity/Q27460714,Peter Weddick Moore,Q27460714,0
human,http://www.wikidata.org/entity/Q47520336,Granville Pearl Aikman,Q47520336,0
